TimeStep,k1,k2,k3
1,52,,
2,52,,
3,52,,
4,55,,
5,54,,
6,56,,
7,60,,
8,63,,
9,67,,
10,70,,
11,74,,
12,78,,
13,82,,
14,87,,
15,91,,
16,94,,
17,96,,
18,98,,
19,99,,
20,99,,
21,99,,
22,98,,
23,97,,
24,96,,
25,95,,
26,94,,
27,94,306,313
28,93,,
29,93,350,
30,94,,
31,94,,
32,95,,
33,96,,
34,97,,
35,98,,
36,99,,
37,101,,
38,102,,
39,103,,
40,105,,
41,106,,
42,108,,
43,109,,
44,111,,
45,112,,
46,114,,
47,115,,
48,117,,
49,119,,
50,120,,
51,122,,
52,123,,
53,125,,
54,127,,
55,128,,
56,130,,
57,131,,
58,132,,
59,55,71,134
60,51,80,135
61,49,86,136
62,48,92,137
63,47,96,138
64,47,101,139
65,46,106,139
66,46,110,135
67,46,113,136
68,46,117,136
69,46,120,137
70,46,123,138
71,46,126,138
72,46,128,139
73,46,131,140
74,46,134,141
75,46,136,141
76,46,139,141
77,46,,
78,46,,
79,46,,
80,46,,
81,47,,
82,47,,
83,47,,
84,48,,
85,48,,
86,48,,
87,48,,
88,49,,
89,49,,
90,49,,
91,49,,
92,50,,
93,50,,
94,50,,
95,50,,
96,50,,
97,50,,
98,51,,
99,51,,
100,51,,
101,51,,
102,51,,
103,51,,
104,51,,
105,51,,
106,51,,
107,51,,
108,51,,
109,52,,
110,52,,
111,52,,
112,52,,
113,52,,
114,52,,
115,52,,
116,52,,
117,52,,
118,52,,
119,52,,
120,52,,
121,52,,
122,52,,
123,52,,
124,52,,
125,52,,
126,52,,
127,52,,
128,52,,
129,52,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
